x		t=0.2		t=0.4		t=0.6		t=0.8		t=1.0
_________________________________________________________________________________________
0		100		100		100		100		100
0.005025126	99.68432	99.688805	99.69049	99.69143	99.69203
0.010050251	99.36907	99.378044	99.38142	99.3833		99.3845
0.015075377	99.05425	99.06772	99.07278	99.0756		99.0774
0.020100502	98.73985	98.75782	98.764565	98.76833	98.77074
0.025125628	98.425896	98.448364	98.4568		98.46151	98.464516
0.030150754	98.11375	98.140724	98.15086	98.15652	98.160126
0.03517588	97.80406	97.83558	97.84742	97.85403	97.858246
0.040201005	97.49684	97.53293	97.546486	97.55405	97.558876
0.04522613	97.19198	97.23264	97.247925	97.25645	97.26189
0.050251257	96.88897	96.934235	96.95125	96.96073	96.96679
0.055276383	96.58911	96.63901	96.65776	96.66822	96.6749
0.06030151	96.29331	96.347885	96.36839	96.37983	96.38714
0.06532663	96.00158	96.06086	96.08314	96.095566	96.1035
0.07035176	95.7134		95.77743	95.80149	95.81491	95.82348
0.07537688	95.428825	95.49763	95.52348	95.5379		95.54711
0.08040201	95.14969	95.22331	95.250984	95.26642	95.276276
0.085427135	94.87598	94.95449	94.98399	95.00046	95.01096
0.09045226	94.607544	94.690994	94.72235	94.739845	94.751015
0.09547739	94.34431	94.43273	94.465965	94.484505	94.496346
0.10050251	94.08705	94.18052	94.215645	94.23524	94.24775
0.10552764	93.83662	93.935196	93.972244	93.99291	94.00611
0.110552765	93.59301	93.69676	93.735756	93.757515	93.77141
0.11557789	93.3575		93.46651	93.50748	93.530334	93.54494
0.12060302	93.12951	93.24385	93.28682	93.3108		93.32611
0.12562814	92.90961	93.02936	93.07436	93.09947	93.11552
0.13065326	92.69822	92.82347	92.870544	92.89681	92.91359
0.1356784	92.495735	92.62658	92.67576	92.7032		92.720726
0.14070351	92.30338	92.439926	92.49124	92.51988	92.53817
0.14572865	92.12122	92.26356	92.317055	92.3469		92.365974
0.15075377	91.94978	92.09803	92.15374	92.18483	92.2047
0.1557789	91.789536	91.9438		92.001785	92.03414	92.05482
0.16080402	91.64059	91.80101	91.861305	91.89495	91.91645
0.16582915	91.50465	91.67136	91.73401	91.768974	91.79132
0.17085427	91.38182	91.55495	91.62002	91.656334	91.67954
0.1758794	91.27317	91.452866	91.52041	91.5581		91.58219
0.18090452	91.17783	91.36426	91.434326	91.47343	91.49843
0.18592964	91.09793	91.29124	91.3639		91.40445	91.430374
0.19095477	91.03479	91.23516	91.31048	91.352516	91.37939
0.1959799	90.98841	91.19603	91.27407	91.31763	91.34548
0.20100503	90.48077	90.847496	90.984856	91.06149	91.11055
0.20603015	88.07735	89.20149	89.62443	89.860535	90.01187
0.21105528	85.69002	87.55737	88.26607	88.66213	88.91613
0.2160804	83.3188		85.915146	86.9098		87.46628	87.823326
0.22110553	80.963684	84.274796	85.5556		86.27298	86.73345
0.22613065	78.652145	82.64355	84.20753	85.08479	85.64819
0.23115578	76.412125	81.03128	82.871025	83.90526	84.56992
0.2361809	74.24339	79.438065	81.54614	82.7344		83.498665
0.24120604	72.14594	77.8639		80.232864	81.57221	82.4344
0.24623115	70.134995	76.314705	78.934395	80.42068	81.378395
0.2512563	68.22853	74.80016	77.656105	79.283295	80.33296
0.2562814	66.42325	73.31953	76.39762	78.15981	79.29794
0.26130652	64.72294	71.87444	75.15968	77.0507		78.27362
0.26633167	63.134716	70.47224	73.946625	75.95894	77.26218
0.2713568	61.66016	69.11433	72.759125	74.88495	76.263855
0.2763819	60.298008	67.80197	71.597916	73.82907	75.278725
0.28140703	59.04693	66.539795	70.466156	72.793625	74.30856
0.28643215	57.903355	65.329865	69.36537	71.77976	73.35426
0.2914573	56.86728	64.17219	68.29556	70.78746	72.41582
0.2964824	55.94165	63.06905	67.25748	69.8171		71.493416
0.30150753	55.11101	62.020897	66.25299	68.870155	70.58813
0.30653265	54.367706	61.028492	65.28326	67.94766	69.7009
0.3115578	53.71174	60.09184	64.34827	67.04963	68.83173
0.31658292	53.144333	59.211777	63.448284	66.17616	67.980705
0.32160804	52.651115	58.38723	62.584133	65.32809	67.148476
0.32663316	52.21658	57.615364	61.75583	64.5058		66.335526
0.3316583	51.840706	56.896057	60.96328	63.709225	65.54179
0.33668342	51.52362	56.229256	60.206486	62.938385	64.76729
0.34170854	51.262753	55.614746	59.485565	62.193398	64.01214
0.34673366	51.038708	55.047478	58.799927	61.474495	63.276794
0.3517588	50.846455	54.52392	58.1483		60.78103	62.560814
0.35678393	50.684994	54.043606	57.530506	60.112877	61.86408
0.36180905	50.55432	53.60654	56.94655	59.470028	61.18658
0.36683416	50.44992	53.21063	56.39586	58.852318	60.528282
0.37185928	50.36128	52.84937	55.876186	58.25881	59.88873
0.37688443	50.288353	52.521973	55.387047	57.68917	59.267647
0.38190955	50.230305	52.227627	54.928005	57.143066	58.664703
0.38693467	50.183292	51.96282	54.49761	56.619812	58.07951
0.3919598	50.14452	51.72387	54.09384	56.118248	57.51127
0.39698493	50.11402	51.510796	53.71673	55.63837	56.959972
0.40201005	50.090378	51.32203	53.36557	55.179783	56.42529
0.40703517	50.070724	51.15199	53.036636	54.740063	55.905457
0.4120603	50.05489	51.000084	52.72943	54.318855	55.400208
0.41708544	50.04278	50.86642	52.444283	53.916504	54.90983
0.42211056	50.0337		50.749557	52.1802		53.532272	54.433674
0.42713568	50.02626	50.645046	51.93324	53.163208	53.969482
0.4321608	50.020138	50.55124	51.70174	52.808044	53.516304
0.43718594	50.01534	50.468136	51.4857		52.46678	53.07413
0.44221106	50.01185	50.395714	51.285107	52.13942	52.642975
0.44723618	50.00915	50.332077	51.098373	51.82479	52.221863
0.4522613	50.007103	50.27608	50.923904	51.521408	51.80955
0.45728642	50.00537	50.22506	50.758034	51.226044	51.40354
0.46231157	50.003983	50.17881	50.60026	50.938194	51.00343
0.46733668	50.002922	50.137283	50.45055	50.657833	50.6092
0.4723618	50.002075	50.099506	50.307537	50.38367	50.219727
0.47738692	50.001446	50.06523	50.170628	50.115074	49.834488
0.48241207	50.000942	50.033688	50.038773	49.851124	49.452774
0.4874372	50.000465	50.00258	49.90738	49.587223	49.070915
0.4924623	50.000023	49.97204	49.77668	49.323544	48.688976
0.49748743	49.99962	49.942135	49.646824	49.060234	48.30708
0.5025126	49.99925	49.912727	49.517452	48.7969		47.924896
0.50753766	49.998833	49.88196	49.384876	48.529842	47.53946
0.5125628	49.998344	49.84938	49.248215	48.25821	47.150097
0.51758796	49.997784	49.81492	49.107307	47.98181	46.756645
0.52261305	49.99709	49.77734	48.95983	47.698376	46.35728
0.5276382	49.996212	49.736168	48.80505	47.407234	45.951485
0.53266335	49.995205	49.691654	48.64311	47.108383	45.5392
0.53768843	49.994		49.642662	48.472107	46.800137	45.119175
0.5427136	49.992287	49.5864		48.288033	46.47891	44.68857
0.5477387	49.990032	49.52255	48.09057	46.14453	44.24731
0.5527638	49.98723	49.45111	47.87971	45.796993	43.795395
0.55778897	49.983902	49.37172	47.654755	45.435616	43.332264
0.56281406	49.979362	49.280632	47.41163	45.057247	42.85556
0.5678392	49.97336	49.176956	47.14968	44.661522	42.365055
0.5728643	49.96589	49.060696	46.86892	44.24845	41.860752
0.57788944	49.956985	48.93159	46.568863	43.817574	41.342274
0.5829146	49.946163	48.786743	46.246788	43.367073	40.808376
0.5879397	49.931072	48.620514	45.898773	42.89453	40.2574
0.5929648	49.911972	48.433395	45.52508	42.40008	39.68943
0.59799		49.889175	48.22581	45.126007	41.883926	39.104614
0.60301507	49.859703	47.9922		44.698257	41.344276	38.501812
0.6080402	49.82212	47.7304		44.240723	40.780586	37.88071
0.6130653	49.777744	47.44188	43.753994	40.19309	37.241425
0.61809045	49.72178	47.119907	43.23469	39.580143	36.583
0.6231156	49.650772	46.761757	42.682007	38.941574	35.90546
0.6281407	49.564735	46.36743	42.095947	38.27739	35.208817
0.63316584	49.464996	45.935986	41.475647	37.58705	34.492683
0.6381909	49.341743	45.460835	40.819157	36.8701		33.757084
0.6432161	49.185036	44.936558	40.125023	36.126247	33.00214
0.6482412	48.994976	44.36319	39.393253	35.355507	32.227856
0.6532663	48.77156	43.740738	38.623856	34.557884	31.434246
0.65829146	48.51509	43.068096	37.816257	33.733063	30.621096
0.6633166	48.204384	42.337955	36.96967	32.881664	29.789404
0.6683417	47.828568	41.54925	36.08497	32.00466	28.940084
0.67336684	47.387638	40.701965	35.162136	31.10203	28.073116
0.67839193	46.881603	39.796116	34.201187	30.173792	27.188522
0.6834171	46.31055	38.832012	33.20241	29.22014	26.286427
0.68844223	45.657833	37.80349	32.164352	28.240902	25.36715
0.6934673	44.89856	36.711895	31.090883	27.239456	24.433573
0.69849247	44.033768	35.559753	29.983292	26.216545	23.486166
0.7035176	43.063465	34.347073	28.841589	25.172184	22.52494
0.7085427	41.98767	33.073875	27.66579	24.106384	21.54991
0.71356785	40.805206	31.739122	26.455362	23.01884	20.560884
0.71859294	39.49259	30.349224	25.21695	21.914776	19.562052
0.7236181	38.0512		28.906666	23.951946	20.795238	18.55422
0.72864324	36.482113	27.412106	22.660704	19.66045	17.537537
0.7336683	34.785175	25.865559	21.343243	18.510433	16.512018
0.7386935	32.959972	24.274862	20.004469	17.348562	15.480112
0.74371856	31.018126	22.64797	18.648752	16.177711	14.443782
0.7487437	28.95959	20.98484	17.27606	14.997849	13.403004
0.75376886	26.782467	19.284992	15.886149	13.808835	12.357692
0.75879395	24.492867	17.556702	14.484086	12.614227	11.310437
0.7638191	22.121655	15.813794	13.077828	11.419347	10.264935
0.76884425	19.668856	14.056294	11.667392	10.224211	9.221194
0.77386934	17.134502	12.284222	10.252795	9.028831	8.17923
0.7788945	14.523593	10.500121	8.835349	7.834026	7.1395698
0.7839196	11.888641	8.721384	7.4246335	6.6459155	6.1062746
0.7889447	9.242779	6.951175	6.02248		5.4656754	5.0801263
0.79396987	6.5860357	5.189517	4.628906	4.2933187	4.0611367
0.79899496	3.9184446	3.4364302	3.2439263	3.1288598	3.0493183
0.8040201	3.36104		3.0714285	2.9554372	2.8861215	2.838219
0.80904526	3.3281243	3.047366	2.934936	2.8677535	2.8213274
0.81407034	3.2899802	3.017959	2.9090395	2.843959	2.7989874
0.8190955	3.2466378	2.9832358	2.8777757	2.814766	2.7712264
0.8241206	3.199059	2.9441593	2.8421113	2.7811437	2.7390168
0.8291457	3.147695	2.9011958	2.8025186	2.743568	2.7028363
0.8341709	3.0925465	2.854346	2.7589982	2.7020395	2.6626854
0.83919597	3.0336177	2.8036146	2.7115545	2.6565626	2.6185684
0.8442211	2.9710932	2.7491903	2.6603785	2.6073294	2.5706785
0.8492462	2.905024	2.691125	2.605522	2.5543919	2.5190678
0.85427135	2.835409	2.6294174	2.5469842	2.4977493	2.4637353
0.8592965	2.7622957	2.564117	2.4848144	2.4374514	2.404731
0.8643216	2.6864917	2.4960492	2.4198465	2.3743365	2.3428972
0.86934674	2.6082447	2.4254694	2.3523386	2.3086646	2.2784944
0.8743719	2.5275555	2.3523784	2.2822912	2.2404363	2.211523
0.879397	2.4444253	2.276777	2.2097049	2.1696522	2.1419842
0.8844221	2.3586643	2.1984713	2.1343849	2.096116	2.069681
0.8894472	2.2708302	2.118033	2.056908	2.0204084	1.995196
0.89447236	2.180995	2.0355356	1.9773481	1.9426038	1.9186041
0.8994975	2.0891595	1.9509797	1.8957065	1.8627032	1.8399063
0.9045226	1.9953247	1.8643668	1.8119842	1.7807075	1.7591035
0.90954775	1.8997024	1.7759142	1.7264011	1.6968384	1.6764185
0.91457283	1.8026416	1.6859814	1.6393207	1.6114616	1.5922189
0.919598	1.7041439	1.5945699	1.5507449	1.5245794	1.5065066
0.92462313	1.60421		1.5016809	1.4606746	1.4361925	1.4192826
0.9296482	1.5029905	1.407467	1.3692638	1.3464555	1.3307017
0.93467337	1.400396	1.3118379	1.2764211	1.2552767	1.2406723
0.9396985	1.2968453	1.2152241	1.1825824	1.1630949	1.1496352
0.9447236	1.1923405	1.1176276	1.087749	1.0699116	1.0575916
0.94974875	1.0868099	1.018975	0.9918475	0.97565264	0.96446717
0.95477384	0.98036957	0.9193853	0.8949979	0.88043886	0.8703833
0.959799	0.8733419	0.8191909	0.7975364	0.784609	0.7756804
0.96482414	0.76562434	0.71828616	0.69935626	0.6880556	0.6802505
0.9698492	0.6573556	0.6168133	0.6006012	0.5909231	0.58423865
0.9748744	0.5485386	0.5147757	0.50127465	0.49321494	0.48764837
